DISTRICT,CUSTODIAL RAPE,OTHER IPC CRIMES,STATE/UT,OTHER RAPE,CRIMINAL BREACH OF TRUST,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,THEFT,RAPE,RIOTS,KIDNAPPING & ABDUCTION,ROBBERY,YEAR,AUTO THEFT,OTHER THEFT,ATTEMPT TO MURDER,MURDER,ARSON,TOTAL IPC CRIMES,DACOITY,COUNTERFIETING,BURGLARY,CHEATING
SITAMARHI,0,2538,BIHAR,9,6,3,465,9,189,60,29,2010,228,237,30,68,22,3776,28,0,105,10
SIWAN,0,503,BIHAR,19,12,0,305,19,251,133,37,2010,22,283,69,78,41,3106,20,0,66,88
SUPAUL,0,881,BIHAR,19,27,12,136,19,206,67,15,2010,28,108,29,52,21,1721,8,3,38,51
VAISHALI,0,2192,BIHAR,30,36,14,518,30,351,197,51,2010,236,282,45,128,22,4372,15,2,151,66
TOTAL,0,56508,BIHAR,795,1071,344,15544,795,8809,3674,1538,2010,4257,11287,2915,3362,660,127453,644,52,3437,3025
BALRAMPUR,0,430,CHHATTISGARH,61,1,1,28,61,29,12,14,2010,0,28,20,30,5,886,3,0,37,6
BILASPUR,0,2063,CHHATTISGARH,69,22,1,799,69,224,38,61,2010,223,576,49,106,53,6599,5,5,525,75
BIZAPUR,0,110,CHHATTISGARH,3,0,1,11,3,14,10,3,2010,4,7,102,73,7,395,20,1,6,1
DANTEWARA,0,279,CHHATTISGARH,9,2,0,37,9,34,8,9,2010,12,25,83,63,24,692,12,1,32,3
DHAMTARI,0,745,CHHATTISGARH,40,3,0,150,40,25,10,7,2010,48,102,5,18,3,1382,5,0,103,25
DURG,0,6024,CHHATTISGARH,106,21,3,954,106,101,39,83,2010,389,565,58,85,31,9563,1,8,634,195
GRP RAIPUR,0,47,CHHATTISGARH,1,0,0,329,1,1,2,7,2010,13,316,3,1,0,407,0,0,4,1
JAGDALPUR,0,811,CHHATTISGARH,48,9,0,138,48,30,17,20,2010,89,49,48,66,6,2157,11,4,101,14
JANJGIR,0,797,CHHATTISGARH,39,13,3,288,39,117,9,30,2010,91,197,21,47,28,2896,3,4,197,40
JASHPUR,0,588,CHHATTISGARH,69,3,1,71,69,26,24,21,2010,15,56,15,62,6,1240,3,3,73,9
KABIRDHAM,0,423,CHHATTISGARH,19,2,3,67,19,33,8,5,2010,21,46,8,22,5,1378,0,1,75,12
KANKER,0,554,CHHATTISGARH,18,1,0,53,18,28,11,12,2010,21,32,51,42,8,976,15,0,46,14
KORBA,0,922,CHHATTISGARH,32,10,2,217,32,55,7,30,2010,94,123,12,41,3,2600,4,1,160,30
KORIYA,0,489,CHHATTISGARH,58,2,1,124,58,25,21,9,2010,30,94,13,32,6,1817,5,0,172,21
MAHASAMUND,0,790,CHHATTISGARH,26,2,0,165,26,12,7,14,2010,36,129,15,34,9,1624,2,2,116,26
NARAYANPUR,0,59,CHHATTISGARH,3,0,0,8,3,0,9,1,2010,5,3,41,18,3,187,8,0,7,1
RAIGARH,0,1063,CHHATTISGARH,52,22,4,328,52,93,19,52,2010,166,162,37,67,23,3130,13,4,264,71
RAIPUR,0,3361,CHHATTISGARH,136,65,4,1554,136,164,49,108,2010,722,832,86,102,59,10360,7,15,750,188
RAJNANDGAON,0,1845,CHHATTISGARH,43,6,1,194,43,28,18,16,2010,55,139,39,47,16,2849,1,8,177,32
SARGUJA,0,1188,CHHATTISGARH,103,9,3,206,103,30,25,38,2010,89,117,38,51,13,2218,2,1,144,27
SURAJPUR,0,503,CHHATTISGARH,77,3,2,84,77,23,16,12,2010,16,68,12,58,11,1602,2,1,88,22
TOTAL,0,23091,CHHATTISGARH,1012,196,30,5805,1012,1092,359,552,2010,2139,3666,756,1065,319,54958,122,59,3711,813
NORTH GOA,0,542,GOA,12,30,2,598,12,40,10,28,2010,195,403,12,25,13,1926,0,17,209,80
SOUTH GOA,0,385,GOA,24,27,1,436,24,24,15,11,2010,164,272,15,10,10,1367,2,16,159,37
TOTAL,0,927,GOA,36,57,3,1034,36,64,25,39,2010,359,675,27,35,23,3293,2,33,368,117
AHMEDABAD COMMR.,0,11184,GUJARAT,49,263,4,4659,49,171,207,805,2010,3101,1558,66,82,4,21442,26,17,799,212
AHMEDABAD RURAL,0,1893,GUJARAT,8,80,3,303,8,63,44,23,2010,133,170,17,31,7,3373,7,3,102,10
AHWA-DANG,0,98,GUJARAT,1,1,0,6,1,0,0,0,2010,0,6,1,11,1,154,0,0,2,0
AMRELI,0,1086,GUJARAT,10,44,3,188,10,46,65,18,2010,83,105,5,19,6,2167,1,8,108,10
ANAND,0,1851,GUJARAT,15,60,3,440,15,42,45,13,2010,238,202,8,24,16,3464,7,4,101,21
BHARUCH,0,1537,GUJARAT,9,65,0,318,9,45,27,13,2010,131,187,15,37,19,2872,8,8,119,13
BHAVNAGAR,0,2311,GUJARAT,8,28,2,513,8,92,62,22,2010,237,276,29,50,15,4133,1,19,176,45
CID CRIME,0,1,GUJARAT,1,7,0,1,1,0,0,0,2010,0,1,0,3,0,27,0,0,0,14
DAHOD,0,828,GUJARAT,3,4,8,182,3,54,54,44,2010,106,76,16,39,12,1832,17,2,58,7
