DISTRICT,CUSTODIAL RAPE,OTHER IPC CRIMES,STATE/UT,OTHER RAPE,CRIMINAL BREACH OF TRUST,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,THEFT,RAPE,RIOTS,KIDNAPPING & ABDUCTION,ROBBERY,YEAR,AUTO THEFT,OTHER THEFT,ATTEMPT TO MURDER,MURDER,ARSON,TOTAL IPC CRIMES,DACOITY,COUNTERFIETING,BURGLARY,CHEATING
PAURI GARHWAL,0,68,UTTARAKHAND,7,6,0,81,7,19,7,18,2001,12,69,9,26,5,396,2,0,32,10
PITHORAGARH,0,203,UTTARAKHAND,7,4,3,41,7,14,1,6,2001,4,37,3,8,1,364,1,0,28,8
RUDRA PRAYAG,0,35,UTTARAKHAND,2,2,0,20,2,10,0,1,2001,0,20,2,5,0,106,0,0,3,1
TEHRI GARHWAL,0,146,UTTARAKHAND,2,5,2,37,2,11,5,7,2001,4,33,10,7,2,314,0,0,26,4
UDHAMSINGH NAGAR,0,332,UTTARAKHAND,10,19,13,198,10,40,36,32,2001,44,154,44,54,0,1167,6,0,65,33
UTTARKASHI,0,128,UTTARAKHAND,8,9,0,43,8,31,3,6,2001,1,42,11,10,3,312,0,0,18,4
TOTAL,0,2227,UTTARAKHAND,74,171,38,1419,74,440,183,191,2001,374,1045,279,316,30,8073,32,4,533,318
24 PARGANAS NORTH,0,3036,WEST BENGAL,53,55,61,1679,53,285,81,56,2001,459,1220,23,202,1,6167,14,7,46,35
24 PARGANAS SOUTH,0,3409,WEST BENGAL,47,1,75,1143,47,327,53,33,2001,274,869,5,107,9,5827,15,1,16,4
ASANSOL,0,208,WEST BENGAL,0,1,1,54,0,12,3,1,2001,5,49,7,9,0,362,0,0,0,9
BANKURA,0,417,WEST BENGAL,26,0,12,235,26,66,7,30,2001,15,220,32,35,6,1180,10,0,6,23
BIRBHUM,0,807,WEST BENGAL,43,20,25,350,43,282,43,30,2001,44,306,40,76,9,2213,7,0,18,4
BURDWAN,0,2631,WEST BENGAL,46,6,43,848,46,237,45,42,2001,67,781,4,133,7,4693,24,0,28,53
COOCHBEHAR,0,493,WEST BENGAL,36,3,15,125,36,49,43,15,2001,1,124,1,37,1,1262,13,1,14,9
DAKSHIN DINAJPUR,0,519,WEST BENGAL,10,5,19,126,10,41,31,7,2001,9,117,0,25,0,1011,3,2,2,3
DARJEELING,0,665,WEST BENGAL,20,0,28,467,20,40,21,21,2001,134,333,3,46,10,1778,8,9,17,6
HOOGHLY,0,871,WEST BENGAL,29,11,33,587,29,363,41,28,2001,44,543,22,81,0,3020,8,0,15,16
HOWRAH,0,515,WEST BENGAL,2,9,8,170,2,45,11,3,2001,45,125,8,28,9,1195,5,1,1,19
HOWRAH CITY,0,437,WEST BENGAL,7,22,11,353,7,79,17,16,2001,163,190,8,21,6,1438,3,1,6,56
HOWRAH G.R.P.,0,163,WEST BENGAL,1,0,0,673,1,25,7,10,2001,0,673,0,18,0,951,5,0,0,0
JALPAIGURI,0,531,WEST BENGAL,54,6,60,486,54,84,33,58,2001,51,435,30,152,4,2321,36,7,27,12
KOLKATA,0,3511,WEST BENGAL,19,271,8,4040,19,275,121,149,2001,1061,2979,152,65,0,11970,26,54,148,863
MALDA,0,820,WEST BENGAL,40,15,34,333,40,52,38,9,2001,29,304,27,55,0,1859,1,8,10,16
MIDNAPUR,0,2440,WEST BENGAL,84,38,44,581,84,363,74,59,2001,108,473,20,120,23,4617,16,1,39,27
MURSHIDABAD,0,1132,WEST BENGAL,66,2,38,378,66,109,52,31,2001,23,355,10,130,0,2683,21,4,10,18
NADIA,0,1338,WEST BENGAL,71,0,34,678,71,227,91,23,2001,2,676,0,124,5,3623,28,0,10,0
PURULIA,0,606,WEST BENGAL,23,6,5,300,23,70,17,20,2001,1,299,0,69,3,1292,7,0,5,17
SEALDAH G.R.P.,0,43,WEST BENGAL,1,1,4,276,1,16,3,11,2001,0,276,6,23,0,418,2,0,0,6
SILIGURI G.R.P.,0,32,WEST BENGAL,0,1,2,89,0,4,2,1,2001,0,89,0,2,0,143,3,0,0,1
UTTAR DINAJPUR,0,636,WEST BENGAL,31,13,21,274,31,44,41,7,2001,27,247,51,36,9,1540,19,6,8,19
TOTAL,0,25260,WEST BENGAL,709,486,581,14245,709,3095,875,660,2001,2562,11683,449,1594,102,61563,274,102,426,1216
ANDAMAN,0,310,A & N ISLANDS,3,10,0,65,3,13,2,4,2001,4,61,0,13,4,637,0,2,62,8
NICOBAR,0,13,A & N ISLANDS,0,0,0,0,0,0,0,0,2001,0,0,0,0,0,21,0,0,2,0
TOTAL,0,323,A & N ISLANDS,3,10,0,65,3,13,2,4,2001,4,61,0,13,4,658,0,2,64,8
CHANDIGARH,0,914,CHANDIGARH,18,26,6,1529,18,91,56,22,2001,494,1035,10,15,5,3397,5,2,364,155
TOTAL,0,914,CHANDIGARH,18,26,6,1529,18,91,56,22,2001,494,1035,10,15,5,3397,5,2,364,155
D and N HAVELI,0,183,D & N HAVELI,6,13,0,45,6,4,4,2,2001,15,30,2,3,1,350,0,1,34,12
TOTAL,0,183,D & N HAVELI,6,13,0,45,6,4,4,2,2001,15,30,2,3,1,350,0,1,34,12
DAMAN,0,54,DAMAN & DIU,0,4,0,34,0,14,5,0,2001,20,14,5,6,3,194,0,1,39,7
DIU,0,19,DAMAN & DIU,0,1,0,6,0,9,0,0,2001,0,6,0,1,0,45,0,0,4,2
TOTAL,0,73,DAMAN & DIU,0,5,0,40,0,23,5,0,2001,20,20,5,7,3,239,0,1,43,9
CENTRAL,0,1422,DELHI UT,28,57,4,1595,28,9,62,42,2001,560,1035,42,29,1,3750,3,3,149,134
DELHI UT TOTAL,0,22000,DELHI UT,381,479,63,19276,381,165,1627,624,2001,7894,11382,510,547,50,54384,48,42,3029,2183
EAST,0,1552,DELHI UT,24,41,15,1651,24,20,163,47,2001,835,816,51,56,4,4447,4,6,270,143
G.R.P.(RLY),0,129,DELHI UT,1,2,0,1430,1,0,7,11,2001,13,1417,4,11,0,1630,1,2,2,19
I.G.I. AIRPORT,0,61,DELHI UT,0,6,1,52,0,1,4,2,2001,7,45,2,2,1,625,0,1,0,483
NEW DELHI,0,731,DELHI UT,9,36,0,1237,9,14,27,22,2001,341,896,14,11,3,2660,1,12,75,296
NORTH,0,1729,DELHI UT,28,86,5,1364,28,11,99,52,2001,455,909,33,28,3,3998,2,7,177,159
NORTH EAST,0,1477,DELHI UT,36,27,5,961,36,7,157,74,2001,500,461,79,62,3,3449,3,3,157,57
NORTH WEST,0,4663,DELHI UT,103,55,13,2850,103,20,518,122,2001,1429,1421,107,134,14,10001,14,3,619,139
S.T.F.,0,0,DELHI UT,0,0,0,0,0,0,0,0,2001,0,0,0,0,0,0,0,0,0,0
SOUTH,0,3991,DELHI UT,65,100,7,4220,65,46,265,120,2001,1986,2234,75,83,10,10745,9,1,803,373
SOUTH WEST,0,2094,DELHI UT,42,31,1,1816,42,32,174,74,2001,772,1044,52,61,8,5389,9,3,359,182
WEST,0,4151,DELHI UT,45,38,12,2100,45,5,151,58,2001,996,1104,51,70,3,7690,2,1,418,198
LAKSHADWEEP,0,17,LAKSHADWEEP,0,1,0,10,0,1,0,0,2001,0,10,0,1,2,36,0,0,1,0
TOTAL,0,17,LAKSHADWEEP,0,1,0,10,0,1,0,0,2001,0,10,0,1,2,36,0,0,1,0
PONDICHERRY,0,2324,PUDUCHERRY,9,5,1,528,9,100,4,4,2001,284,244,32,25,31,4068,1,3,111,23
TOTAL,0,2324,PUDUCHERRY,9,5,1,528,9,100,4,4,2001,284,244,32,25,31,4068,1,3,111,23
ADILABAD,0,1753,ANDHRA PRADESH,37,25,17,226,37,80,42,40,2002,32,194,79,100,38,4675,7,0,193,135
ANANTAPUR,0,719,ANDHRA PRADESH,28,37,7,356,28,135,65,21,2002,59,297,113,166,57,4467,13,5,196,109
CHITTOOR,0,2788,ANDHRA PRADESH,28,57,5,832,28,71,67,14,2002,200,632,66,105,43,6306,4,1,208,172
CUDDAPAH,0,1416,ANDHRA PRADESH,16,14,9,205,16,92,27,11,2002,47,158,0,91,20,3324,1,3,84,52
EAST GODAVARI,0,1440,ANDHRA PRADESH,25,89,2,1206,25,100,55,12,2002,213,993,102,97,40,7931,3,13,468,262
GUNTAKAL RLY.,0,142,ANDHRA PRADESH,1,0,0,148,1,0,0,2,2002,0,148,0,0,0,310,0,5,0,0
GUNTUR,0,2440,ANDHRA PRADESH,46,65,1,1182,46,144,87,53,2002,150,1032,77,143,38,7883,12,10,357,346
HYDERABAD CITY,0,1759,ANDHRA PRADESH,57,127,3,3777,57,128,115,68,2002,1224,2553,109,117,8,14413,11,21,1348,1734
KARIMNAGAR,0,1504,ANDHRA PRADESH,99,44,6,404,99,191,62,60,2002,94,310,88,160,52,7086,18,2,216,357
KHAMMAM,0,917,ANDHRA PRADESH,48,76,1,431,48,107,70,11,2002,79,352,55,106,52,5646,5,1,164,219
KRISHNA,0,1114,ANDHRA PRADESH,41,19,3,543,41,49,26,4,2002,32,511,66,92,42,5318,1,3,242,146
KURNOOL,0,1161,ANDHRA PRADESH,45,12,1,308,45,76,54,17,2002,16,292,98,124,16,4684,8,8,134,185
MAHABOOBNAGAR,0,2108,ANDHRA PRADESH,85,24,31,439,85,140,57,39,2002,41,398,84,171,74,5354,5,6,241,91
MEDAK,0,554,ANDHRA PRADESH,68,22,20,356,68,64,46,35,2002,39,317,50,103,57,4208,18,2,272,105
NALGONDA,0,1966,ANDHRA PRADESH,41,26,8,321,41,87,46,18,2002,45,276,53,109,78,5290,5,6,167,184
NELLORE,0,1612,ANDHRA PRADESH,46,39,4,542,46,46,67,23,2002,68,474,93,84,58,5240,12,4,209,157
NIZAMABAD,0,791,ANDHRA PRADESH,35,33,12,338,35,46,29,30,2002,66,272,42,93,39,4417,13,1,179,138
PRAKASHAM,0,1008,ANDHRA PRADESH,21,27,2,259,21,124,32,13,2002,45,214,79,67,48,3636,12,4,132,86
RANGA REDDY,0,1948,ANDHRA PRADESH,49,88,12,1450,49,61,104,62,2002,452,998,107,214,81,10602,22,4,1009,597
SECUNDERABAD RLY.,0,40,ANDHRA PRADESH,0,2,1,350,0,0,0,3,2002,0,350,0,12,0,444,0,23,3,2
SRIKAKULAM,0,939,ANDHRA PRADESH,14,24,2,235,14,28,10,2,2002,13,222,9,27,28,2486,2,2,100,58
VIJAYAWADA,0,1057,ANDHRA PRADESH,31,34,3,2808,31,5,78,56,2002,278,2530,49,39,42,9083,3,6,723,784
VIJAYAWADA RLY.,0,47,ANDHRA PRADESH,1,0,0,328,1,0,1,1,2002,2,326,0,3,0,410,0,7,0,5
VISAKHA RURAL,0,1001,ANDHRA PRADESH,14,24,0,195,14,36,7,4,2002,0,195,25,54,21,2669,4,0,97,40
VISAKHAPATNAM,0,819,ANDHRA PRADESH,8,27,1,573,8,13,15,7,2002,173,400,15,20,6,2838,1,5,250,240
VIZIANAGARAM,0,1127,ANDHRA PRADESH,12,13,1,171,12,9,9,3,2002,0,171,22,28,6,2432,3,0,105,51
WARANGAL,0,2370,ANDHRA PRADESH,52,41,11,413,52,240,72,20,2002,56,357,72,131,0,6397,7,5,245,175
WEST GODAVARI,0,1845,ANDHRA PRADESH,54,61,2,826,54,68,59,19,2002,120,706,91,69,47,6061,7,8,286,303
TOTAL,0,36385,ANDHRA PRADESH,1002,1050,165,19222,1002,2140,1302,648,2002,3544,15678,1644,2525,991,143610,197,155,7628,6733
CHANGLANG,0,66,ARUNACHAL PRADESH,3,4,1,25,3,0,5,5,2002,0,25,4,9,2,180,2,0,18,8
DIBANG VALLEY,0,57,ARUNACHAL PRADESH,5,0,0,20,5,5,6,9,2002,0,20,4,6,0,178,2,0,16,3
KAMENG EAST,0,28,ARUNACHAL PRADESH,1,1,0,23,1,8,4,3,2002,0,23,2,3,0,126,0,0,10,0
KAMENG WEST,0,31,ARUNACHAL PRADESH,0,1,0,15,0,0,4,0,2002,0,15,3,3,0,84,0,0,10,1
LOHIT,0,34,ARUNACHAL PRADESH,3,1,0,24,3,0,5,5,2002,0,24,2,14,1,169,6,2,12,2
PAPUM PARE,0,83,ARUNACHAL PRADESH,3,4,1,94,3,0,10,42,2002,38,56,3,3,1,383,7,1,66,3
SIANG EAST,0,62,ARUNACHAL PRADESH,11,4,0,58,11,0,10,6,2002,3,55,0,3,2,264,2,0,28,5
SIANG UPPER,0,23,ARUNACHAL PRADESH,3,0,0,7,3,0,0,1,2002,0,7,1,0,0,44,0,0,9,0
SIANG WEST,0,117,ARUNACHAL PRADESH,4,3,3,50,4,3,7,7,2002,4,46,7,4,6,331,1,0,39,2
SUBANSIRI LOWER,0,51,ARUNACHAL PRADESH,1,0,0,32,1,0,4,8,2002,4,28,3,8,4,152,2,0,16,1
SUBANSIRI UPPER,0,48,ARUNACHAL PRADESH,2,3,0,14,2,4,1,6,2002,0,14,2,5,4,132,0,0,13,2
TAWANG,0,17,ARUNACHAL PRADESH,1,1,1,13,1,1,0,0,2002,2,11,0,0,0,44,0,2,3,1
TIRAP,0,67,ARUNACHAL PRADESH,1,1,0,20,1,0,1,4,2002,0,20,7,3,0,141,0,0,9,1
TOTAL,0,684,ARUNACHAL PRADESH,38,23,6,395,38,21,57,96,2002,51,344,38,61,20,2228,22,5,249,29
BARPETA,0,285,ASSAM,55,19,2,256,55,275,69,23,2002,9,247,20,43,28,1527,28,1,83,28
BONGAIGAON,0,274,ASSAM,21,16,0,80,21,81,51,20,2002,6,74,0,47,2,818,26,0,78,9
C.I.D.,0,45,ASSAM,0,0,0,0,0,0,2,0,2002,0,0,0,0,0,52,0,0,0,5
CACHAR,0,1057,ASSAM,71,50,0,448,71,446,93,18,2002,3,445,44,57,57,3520,29,3,206,33
DARRANG,0,180,ASSAM,33,6,2,119,33,61,54,11,2002,6,113,7,31,15,861,12,3,50,8
DHEMAJI,0,84,ASSAM,48,16,0,83,48,14,31,11,2002,0,83,15,30,13,689,7,1,27,14
DHUBRI,0,128,ASSAM,46,55,1,88,46,418,62,20,2002,1,87,16,60,21,1721,44,5,78,23
DIBRUGARH,0,258,ASSAM,45,4,2,309,45,36,75,23,2002,35,274,35,97,23,1642,19,3,96,21
G.R.P.,0,34,ASSAM,0,2,0,62,0,0,0,6,2002,0,62,0,6,0,116,2,0,2,0
GOALPARA,0,133,ASSAM,40,8,1,107,40,128,48,10,2002,2,105,18,24,12,959,25,1,63,17
GOLAGHAT,0,194,ASSAM,42,28,4,260,42,13,68,37,2002,31,229,9,57,28,1347,10,5,56,31
GUWAHATI CITY,0,1101,ASSAM,60,113,20,1136,60,313,184,83,2002,201,935,18,60,5,4384,44,11,530,146
HAILAKANDI,0,204,ASSAM,24,9,1,110,24,114,42,5,2002,0,110,5,26,25,814,13,0,63,8
JORHAT,0,342,ASSAM,36,18,4,204,36,68,36,14,2002,8,196,13,37,17,1130,4,2,67,21
KAMRUP,0,924,ASSAM,41,24,8,138,41,50,118,30,2002,57,81,31,34,13,1673,21,0,68,47
KARBI ANGLONG,0,161,ASSAM,5,4,1,118,5,16,37,20,2002,20,98,3,41,7,527,13,1,15,7
KARIMGANJ,0,165,ASSAM,23,6,0,142,23,179,38,4,2002,8,134,12,43,16,894,6,1,71,15
KOKRAJHAR,0,186,ASSAM,15,7,0,77,15,61,48,13,2002,0,77,20,62,6,896,16,4,45,13
LAKHIMPUR,0,290,ASSAM,69,19,1,283,69,59,84,44,2002,0,283,34,26,45,1925,2,0,95,86
MORIGAON,0,216,ASSAM,40,6,1,108,40,88,39,2,2002,2,106,8,23,10,782,2,1,35,12
N.C.HILLS,0,41,ASSAM,2,6,0,45,2,2,9,8,2002,0,45,16,25,2,213,2,0,4,2
NAGAON,0,672,ASSAM,61,41,3,298,61,305,132,77,2002,45,253,40,78,45,3254,53,4,355,61
NALBARI,0,398,ASSAM,27,10,0,87,27,3,50,31,2002,1,86,56,47,7,1011,25,3,81,15
R.P.O.,0,1,ASSAM,1,0,0,4,1,3,1,0,2002,0,4,0,0,0,13,2,0,1,0
SIBSAGAR,0,431,ASSAM,57,26,1,328,57,50,57,22,2002,47,281,20,75,22,1881,8,3,50,27
SONITPUR,0,465,ASSAM,67,47,1,332,67,157,114,35,2002,8,324,22,109,19,2269,23,1,166,45
TINSUKIA,0,306,ASSAM,41,18,2,333,41,74,53,40,2002,6,327,17,115,0,1428,37,4,119,25
TOTAL,0,8575,ASSAM,970,558,55,5555,970,3014,1595,607,2002,496,5059,479,1253,438,36346,473,57,2504,719
ARARIA,0,1004,BIHAR,101,25,2,109,101,365,91,36,2002,10,99,15,61,14,2085,34,2,63,5
ARWAL,0,103,BIHAR,0,5,8,37,0,61,11,11,2002,0,37,58,44,14,606,5,0,15,2
AURANGABAD,0,1544,BIHAR,12,10,0,132,12,195,19,26,2002,2,130,38,96,0,2312,20,0,66,28
BAGAHA,0,151,BIHAR,23,2,11,127,23,89,49,11,2002,0,127,71,27,6,975,1,0,17,17
BANKA,0,797,BIHAR,27,6,3,92,27,255,32,35,2002,5,87,18,100,2,1496,38,0,55,4
BEGUSARAI,0,1654,BIHAR,20,31,5,253,20,157,75,89,2002,29,224,139,138,13,3054,15,0,67,33
BETTIAH,0,231,BIHAR,55,107,10,274,55,436,67,58,2002,7,267,229,100,18,3288,29,2,111,16
BHABHUA,0,778,BIHAR,17,6,6,140,17,196,41,24,2002,8,132,10,48,19,1509,30,0,78,35
BHAGALPUR,0,1445,BIHAR,40,35,4,409,40,207,89,64,2002,46,363,46,107,13,2791,16,2,134,52
BHOJPUR,0,1913,BIHAR,17,22,1,247,17,124,43,49,2002,9,238,41,147,39,3021,35,0,99,71
BUXAR,0,817,BIHAR,17,0,16,182,17,236,40,44,2002,0,182,80,60,4,1840,38,0,61,43
DARBHANGA,0,1669,BIHAR,52,64,17,225,52,244,93,29,2002,12,213,79,72,28,3087,42,22,91,89
GAYA,0,973,BIHAR,31,37,8,348,31,319,38,132,2002,19,329,149,218,38,3124,98,0,162,63
GOPALGANJ,0,1206,BIHAR,16,2,5,120,16,181,42,34,2002,22,98,89,69,3,2035,13,0,72,64
JAMALPUR RLY.,0,70,BIHAR,0,0,2,121,0,3,5,7,2002,3,118,5,6,0,239,10,0,3,3
JAMUI,0,213,BIHAR,15,0,3,106,15,142,38,34,2002,8,98,203,56,12,1048,8,0,39,18
JEHANABAD,0,702,BIHAR,7,0,1,123,7,169,32,20,2002,8,115,55,73,0,1318,28,0,34,35
KATIHAR,0,1173,BIHAR,77,7,5,157,77,235,87,30,2002,19,138,25,67,3,2173,29,0,65,50
KATIHAR RLY.,0,130,BIHAR,2,0,0,218,2,9,3,17,2002,7,211,0,14,0,434,9,0,17,12
KHAGARIA,0,541,BIHAR,15,7,6,75,15,173,31,17,2002,9,66,23,66,4,1101,9,0,20,18
KISHANGANJ,0,510,BIHAR,20,10,1,82,20,137,35,10,2002,10,72,2,30,8,966,15,1,38,4
LAKHISARAI,0,337,BIHAR,2,3,2,84,2,67,34,15,2002,9,75,36,67,4,788,6,0,22,10
MADHEPURA,0,386,BIHAR,10,5,3,75,10,162,32,41,2002,11,64,23,50,11,1019,29,0,22,9
MADHUBANI,0,440,BIHAR,31,22,92,177,31,282,50,20,2002,2,175,86,66,69,2627,35,0,98,65
MOTIHARI,0,2712,BIHAR,41,75,19,306,41,418,139,102,2002,5,301,47,97,27,4596,47,5,133,117
MUNGER,0,788,BIHAR,11,32,0,161,11,51,53,22,2002,14,147,124,63,9,2014,4,0,36,68
MUZAFFARPUR,0,2068,BIHAR,60,152,23,723,60,393,167,122,2002,101,622,92,130,36,4863,57,3,178,113
MUZAFFARPUR RLY.,0,132,BIHAR,2,0,1,319,2,8,5,18,2002,19,300,1,18,0,609,11,1,11,15
NALANDA,0,967,BIHAR,32,41,17,233,32,221,93,63,2002,10,223,191,175,10,3247,49,20,93,22
NAUGACHIA,0,327,BIHAR,11,4,9,50,11,103,24,18,2002,1,49,4,35,6,711,9,0,6,13
NAWADAH,0,187,BIHAR,34,19,23,78,34,188,50,24,2002,6,72,87,69,5,1500,8,1,33,25
PATNA,0,2760,BIHAR,37,206,30,1763,37,489,203,491,2002,494,1269,682,472,35,9217,93,6,494,342
PATNA RLY.,0,164,BIHAR,2,4,0,707,2,11,5,15,2002,16,691,24,29,0,1018,28,0,2,13
PURNEA,0,869,BIHAR,46,5,4,174,46,316,48,114,2002,38,136,75,96,6,2131,98,0,86,23
ROHTAS,0,1468,BIHAR,15,12,5,375,15,401,92,90,2002,15,360,35,132,10,3419,85,0,166,22
SAHARSA,0,309,BIHAR,11,19,4,65,11,110,20,20,2002,4,61,106,39,10,967,4,0,18,20
SAMASTIPUR,0,1391,BIHAR,22,41,19,197,22,243,56,69,2002,31,166,120,119,41,2808,36,0,93,30
SARAN,0,806,BIHAR,12,30,0,271,12,265,73,46,2002,38,233,63,100,16,3277,39,2,88,15
SHEIKHPURA,0,508,BIHAR,6,59,2,60,6,80,24,6,2002,2,58,18,33,3,887,8,0,11,21
SHEOHAR,0,283,BIHAR,14,0,0,16,14,48,19,3,2002,2,14,0,10,5,447,10,1,12,18
SITAMARHI,0,1055,BIHAR,31,27,1,176,31,270,50,27,2002,10,166,19,54,9,2172,24,2,46,36
SIWAN,0,735,BIHAR,8,15,9,138,8,217,57,108,2002,30,108,163,117,18,2016,37,1,83,21
SUPAUL,0,1045,BIHAR,22,4,0,114,22,192,34,35,2002,0,114,46,43,9,1760,40,0,34,16
VAISHALI,0,1784,BIHAR,16,64,19,306,16,207,72,42,2002,40,266,109,99,23,3445,10,1,116,115
TOTAL,0,39145,BIHAR,1040,1215,396,10145,1040,8675,2361,2288,2002,1131,9014,3526,3712,600,94040,1289,72,3188,1811
BALRAMPUR,0,216,CHHATTISGARH,30,4,0,46,30,23,3,18,2002,5,41,21,30,8,618,35,0,61,0
BILASPUR,0,2311,CHHATTISGARH,72,5,9,595,72,140,15,48,2002,101,494,43,56,10,4709,1,3,504,42
BIZAPUR,0,95,CHHATTISGARH,7,0,0,13,7,18,2,2,2002,5,8,18,19,10,239,14,0,14,2
DANTEWARA,0,237,CHHATTISGARH,9,1,0,66,9,19,4,6,2002,9,57,29,59,8,616,2,0,62,2
DHAMTARI,0,680,CHHATTISGARH,26,2,0,113,26,26,4,6,2002,19,94,12,16,2,1249,0,2,105,10
DURG,0,3334,CHHATTISGARH,132,9,0,787,132,59,29,51,2002,206,581,65,72,27,6121,2,5,569,74
GRP RAIPUR,0,88,CHHATTISGARH,5,1,0,207,5,0,0,0,2002,8,199,1,2,0,320,0,0,8,1
JAGDALPUR,0,1080,CHHATTISGARH,46,10,0,116,46,29,19,19,2002,20,96,34,70,17,1910,35,0,169,18
JANJGIR,0,674,CHHATTISGARH,42,10,0,191,42,78,6,18,2002,27,164,24,43,24,2014,1,0,163,16
JASHPUR,0,342,CHHATTISGARH,35,2,2,82,35,15,0,18,2002,9,73,14,54,6,766,9,1,59,3
KABIRDHAM,0,251,CHHATTISGARH,20,3,1,57,20,26,2,3,2002,7,50,6,18,8,817,1,0,73,3
KANKER,0,603,CHHATTISGARH,37,1,0,54,37,22,6,4,2002,6,48,6,35,28,1046,21,0,76,2
KORBA,0,1013,CHHATTISGARH,38,6,0,312,38,45,4,18,2002,86,226,10,40,16,2295,2,0,236,19
KORIYA,0,723,CHHATTISGARH,58,2,1,134,58,20,7,5,2002,17,117,15,21,6,1531,0,1,203,10
MAHASAMUND,0,537,CHHATTISGARH,33,2,4,150,33,27,5,9,2002,29,121,16,15,4,1324,3,0,141,13
RAIGARH,0,378,CHHATTISGARH,39,10,0,222,39,58,5,23,2002,0,222,24,56,14,1547,1,0,226,31
RAIPUR,0,2302,CHHATTISGARH,159,22,3,699,159,59,40,36,2002,242,457,63,86,22,5595,5,5,467,102
RAJNANDGAON,0,1603,CHHATTISGARH,62,3,0,163,62,57,8,12,2002,63,100,17,51,6,2494,5,0,216,23
SARGUJA,0,1109,CHHATTISGARH,142,3,4,295,142,96,19,30,2002,30,265,35,101,19,2739,7,1,379,22
TOTAL,0,17576,CHHATTISGARH,992,96,24,4302,992,817,178,326,2002,889,3413,453,844,235,37950,144,18,3731,393
NORTH GOA,0,428,GOA,9,15,3,285,9,43,4,17,2002,82,203,11,18,17,1380,0,3,217,49
SOUTH GOA,0,352,GOA,3,12,1,211,3,36,5,7,2002,64,147,9,12,8,1060,5,0,159,29
TOTAL,0,780,GOA,12,27,4,496,12,79,9,24,2002,146,350,20,30,25,2440,5,3,376,78
AHMEDABAD COMMR.,0,5953,GUJARAT,12,128,0,4007,12,626,153,206,2002,1950,2057,143,222,13,14479,219,14,643,245
AHMEDABAD RURAL,0,1411,GUJARAT,7,38,0,235,7,66,13,16,2002,55,180,24,63,72,2772,8,0,98,15
AHWA-DANG,0,67,GUJARAT,4,3,0,12,4,6,1,1,2002,1,11,1,6,4,170,1,0,4,0
AMRELI,0,1030,GUJARAT,4,18,1,158,4,37,27,20,2002,35,123,17,21,14,1851,0,1,66,6
ANAND,0,1829,GUJARAT,8,105,1,359,8,184,38,14,2002,109,250,31,48,57,3859,10,0,151,49
BHARUCH,0,1513,GUJARAT,7,56,0,298,7,110,24,23,2002,78,220,25,47,65,3086,33,3,144,30
BHAVNAGAR,0,3123,GUJARAT,9,135,1,500,9,402,51,46,2002,200,300,43,59,76,5146,9,5,277,70
DAHOD,0,743,GUJARAT,14,17,2,120,14,67,9,64,2002,36,84,14,64,52,1743,76,0,61,6
GANDHINAGAR,0,1669,GUJARAT,7,18,0,522,7,108,21,37,2002,189,333,7,31,22,3299,5,1,114,28
HIMATNAGAR,0,2385,GUJARAT,11,48,0,238,11,85,40,28,2002,77,161,23,71,309,4386,81,1,259,46
JAMNAGAR,0,1961,GUJARAT,25,28,0,500,25,41,36,24,2002,200,300,24,39,13,3571,1,1,217,22
JUNAGADH,0,2542,GUJARAT,10,85,0,531,10,112,50,43,2002,145,386,22,55,58,4980,9,1,228,109
KHEDA NORTH,0,2101,GUJARAT,9,41,1,352,9,172,29,20,2002,91,261,18,56,66,3868,23,1,131,54
KUTCH,0,1945,GUJARAT,3,16,4,263,3,71,40,26,2002,86,177,22,35,20,3611,10,1,217,54
MEHSANA,0,2120,GUJARAT,13,37,0,611,13,194,41,52,2002,121,490,43,49,88,5120,49,2,246,61
NARMADA,0,302,GUJARAT,7,4,0,36,7,34,5,1,2002,5,31,4,16,25,696,12,0,27,18
NAVSARI,0,825,GUJARAT,5,22,0,134,5,19,11,14,2002,74,60,4,26,14,1354,3,1,108,10
PALANPUR,0,1136,GUJARAT,16,36,0,293,16,89,47,53,2002,61,232,31,38,71,3745,6,2,220,26
PANCHMAHAL,0,961,GUJARAT,4,39,0,290,4,118,22,14,2002,70,220,18,83,62,2416,76,0,190,21
PATAN,0,1185,GUJARAT,3,26,0,215,3,95,29,23,2002,38,177,13,24,22,2389,9,0,88,44
PORBANDAR,0,752,GUJARAT,4,48,2,75,4,9,9,5,2002,29,46,7,7,6,1213,0,0,39,21
RAJKOT COMMR.,0,1765,GUJARAT,6,53,0,1191,6,121,40,25,2002,542,649,33,35,195,4644,17,2,294,47
RAJKOT RURAL,0,2387,GUJARAT,15,42,1,365,15,116,50,33,2002,90,275,30,41,33,4382,8,2,206,17
SURAT COMMR.,0,745,GUJARAT,18,67,0,1503,18,116,63,64,2002,1039,464,28,81,24,4172,37,4,360,254
SURAT RURAL,0,833,GUJARAT,10,32,0,208,10,24,19,18,2002,71,137,7,78,12,2060,7,0,88,27
SURENDRANAGAR,0,1816,GUJARAT,13,61,0,224,13,95,37,24,2002,44,180,30,40,25,3137,13,1,128,13
VADODARA COMMR.,0,4073,GUJARAT,5,44,0,1040,5,340,35,85,2002,586,454,47,56,334,7116,17,1,365,112
